LEMMA,VERB TYPE,MEANING,DIL LINK,REFLEXIVE TYPE,REFLEXIVE MARKING,NOTE ON VERB,OPPOSITIONAL?,OPPOSITIONAL EXAMPLE,OPPOSITIONAL EXAMPLE TRANSLATION,OPPOSITIONAL EXAMPLE LOCUS,OPPOSITIONAL CONTEMPORARY OIR?,NOTE ON OPPOSITIONAL TRANSITIVE,REFLEXIVE MARKING IS REDUNDANT,NON-REDUNDANT EXAMPLE,NON-REDUNDANT EXAMPLE TRANSLATION,NON-REDUNDANT EXAMPLE LOCUS,NON-REDUNDANT IN CONTEMPORARY OIR?,NOTE ON NON-REDUNDANT EXAMPLE
lúaidid,SIMPLE,move/transport,https://dil.ie/30793,translational motion,PRONOMINAL,N/A,YES,intan luaithfider achaingensom hitig dǽ,when his case will be discussed/will be set in motion in the house of God,Ml.57c7,YES,The Old Irish example is passive¢ which implies a transitive usage.,YES,ind lochta lūaidset din t-ṡlait,of the crew who fared on the foray,Metrical Dindsenchas iii 252.135,NO,N/A
marbaid,SIMPLE,kill,https://dil.ie/31573,direct reflexive,PRONOMINAL,N/A,YES,dianuilemarbae siu anaimtea,if you utterly slay their enemies,Ml.77a12,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
medraid,SIMPLE,excite/intoxicate/perturb,https://dil.ie/31753,emotion,PRONOMINAL,N/A,YES,is fín ro medair in slúag co mbátar cen chond¢ LL 282a49,It’s wine that made the host merry so that they were without a leader.,LL 282a49,NO,N/A,YES,medrait soír ┐ doír,noble and base are merry (over their cups),ZCP xi 83.2,NO,N/A
mescaid,SIMPLE,attack/fall upon/mix with/rush into/rush upon,https://dil.ie/32048,translational motion,PRONOMINAL,N/A,YES,do meascus domblas aei 7 aigéd ara chéle,I mixed gall and vinegar together,Stair Nic. 34.670,NO,N/A,YES,mescfait for ferand hErind,They will attack the land of Ireland,TBC-LL1 2444 (=TBC-I1 1724),NO,The non-reflexive intransitive use is found in later Middle Irish.
mesraigidir,SIMPLE_AIG_DEPONENT,moderate/temper/control/regulate;estimate/adjudge/apportion,https://dil.ie/32074,direct reflexive,PRONOMINAL,N/A,YES,t ceithri rechta ro mesraigsetar [sic leg.] brethemnacht,Ther are four laws which have tempered (regulared?) adjudication...,Laws i 260.20,NO,The oppositional transitive is found outside of the glosses¢ possibly only in later (Middle/Modern) Irish¢ although the original construction (reflexive + i or some other preposition is still found in Modern Irish.,YES,7 mani mesraigea,and unless it moderate,Ml.46c15,Yes,N/A
midithir,SIMPLE_DEPONENT,weigh/measure/judge/appraise/estimate/assign/adjudge/deem/think/suppose/meditate/intend,https://dil.ie/32192,indirect reflexive,PREPOSITIONAL,N/A,N/A,N/A,N/A,N/A,N/A,Although there are transitive examples¢ they are not oppositional to the reflexive usage since the reflexive is marked on the indirect object or adjunct and can be accompanied by a direct object. In other words¢ the reflexive usage is not opposed to a transitive usage¢ but rather can be itself transitive.,NO,N/A,N/A,N/A,N/A,N/A
moídid,SIMPLE,boast/pride,https://dil.ie/32458,emotive speech,PRONOMINAL,N/A,YES,maídid Cormac lecht airig,Cormac boasts of the death of a chief.,BDD.150,NO,N/A,YES?,hóre rommoidisom <leg. rammoidisom?> cumachte less cosse,i.e. since they boast themselves in preaching¢ let them be like unto us,Wb.017a05,YES,The example is actually unclear. It may be that rommoidisom is an unconventional spelling for rammoídisom¢ where the reflexive infixed pronoun is clearly marked.
molaithir,SIMPLE_DEPONENT,praise,https://dil.ie/50393,direct reflexive,PRONOMINAL,N/A,YES,hore nondobmolor-sa,since I may praise you,Wb.14c18,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
múinid,SIMPLE,teach,https://dil.ie/32743,indirect reflexive,PRONOMINAL/PREPOSITIONAL,The prepositional pronoun (i.e. indirect reflexive marker) may double an infixed pronoun¢ but this is not necessary.,N/A,N/A,N/A,N/A,N/A,Although there are transitive examples¢ they are not oppositional to the reflexive usage since the reflexive is marked on the indirect object or adjunct and can be accompanied by a direct object. In other words¢ the reflexive usage is not opposed to a transitive usage¢ but rather can be itself transitive.,NO,N/A,N/A,N/A,N/A,N/A
nertaid,SIMPLE,exhort/urge/encourage,https://dil.ie/33118,direct reflexive,PRONOMINAL,N/A,YES,.i. nertad chách,i.e. let him encourage every one,Wb.5d11,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
óenaigidir,SIMPLE_AIG_DEPONENT,unite,https://dil.ie/33519,direct reflexive,PRONOMINAL,N/A,YES,fobíth ṅ-oenaigedar a cialla ar chinn,because he unites their meanings below,Sg.172a3,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
ro-cluinethar,COMPOUND_DEPONENT,hear,https://dil.ie/35401,cognition,PREPOSITIONAL,N/A,YES,rocluinethar cách in fogur,everyone hears the sound,Wb.12c22,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
samlaithir,SIMPLE_DEPONENT,compare/liken,https://dil.ie/36151,direct reflexive/indirect reflexive,PRONOMINAL/PREPOSITIONAL,N/A,YES,is friss nasamlur,It is to him I compare it.,Wb.3c6,YES,The oppositional transitive example is oppositional to the direct reflexive usage.,NO,N/A,N/A,N/A,N/A,N/A
scrútaid,SIMPLE,examine/scrutinize/investigate/search,https://dil.ie/36669,direct reflexive,PRONOMINAL,N/A,YES,connaconrobae ní roscrutais,so that there was nothing for them to examine,Ml.80c09,YES,N/A,YES,ro scrút inna menmain cinnas doragad ar imchossait na mban,He pondered in his mind how he would set the women at variance.,LU 8220 (FB 17),NO,N/A
sénaid,SIMPLE,bless,https://dil.ie/37102,direct reflexive,PRONOMINAL,N/A,YES,Sēnais in caillig comail,She blessed the drospical nun.,Thes. ii 337.4,NO,N/A,YES?,sénaid MS:_send iarum .,Then he crosses/blesses (himself).,S0070-72,NO,The manuscript form is <send>¢ which could either be sénaid (with no reflexive pronoun) or séntai with a suffixed pronoun.
sínid,SIMPLE,stretch,https://dil.ie/37599,non-translational motion,PRONOMINAL,N/A,YES,sinit a scora,They stretch their tents,Marco P. 130,NO,N/A,YES,do shín tar fheall námhad nós.,(which) stretched past the treachery of an enemy,Hackett xlii 8,NO,N/A
sluindid,SIMPLE,express/name,https://dil.ie/38007,direct reflexive/indirect reflexive,PRONOMINAL/PREPOSITIONAL,N/A,YES,ar sluindid ainm persain,For the noun signifies a person.,Sg.71b5,YES,The oppositional transitive example is oppositional to the direct reflexive usage.,NO,N/A,N/A,N/A,N/A,N/A
sóeraid,SIMPLE,deliver/free/liberate/save,https://dil.ie/35902,direct reflexive,PRONOMINAL,N/A,YES,sóirfed (leg. sóirfid) cách cretfes and,...he will save everyone who believes in him.,Wb. 32d13,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
soïd,SIMPLE,turn,https://dil.ie/38322,non-translational motion,PRONOMINAL,N/A,YES,rosoisset atoil huathui[l] dǽ.,They had turned their will from the will of God.,Ml.124c6,YES,N/A,YES,ceine nosoisiu huáim,as long as you turn from me,Ml.33a1,Yes,N/A
techtaid,SIMPLE,have/possess,https://dil.ie/40278,indirect reflexive,PREPOSITIONAL,N/A,N/A,N/A,N/A,N/A,N/A,Although there are transitive examples¢ they are not oppositional to the reflexive usage since the reflexive is marked on the indirect object or adjunct and can be accompanied by a direct object. In other words¢ the reflexive usage is not opposed to a transitive usage¢ but rather can be itself transitive.,NO,N/A,N/A,N/A,N/A,N/A
toirsigidir,SIMPLE_AIG_DEPONENT,become fatigued/tire/become sad/sadden,https://dil.ie/41285,anticausative,PRONOMINAL,N/A,YES,cuire … do thuirrsigh uile Éirinn,a troop … that grieved all of Ireland,Ddána 107.5,NO,N/A,YES,ma fo ēge (sic leg.) nammā¢ mani tairsaige,if she just screams and is not aggrieved,ZCP xv 350.5,NO,N/A
tremi-tóirndea,COMPOUND,transfer,https://dil.ie/41790,indirect reflexive,PREPOSITIONAL,N/A,N/A,N/A,N/A,N/A,N/A,Although there are transitive examples¢ they are not oppositional to the reflexive usage since the reflexive is marked on the indirect object or adjunct and can be accompanied by a direct object. In other words¢ the reflexive usage is not opposed to a transitive usage¢ but rather can be itself transitive.,NO,N/A,N/A,N/A,N/A,N/A
messaid,SIMPLE,examine/judge/appraise/adjudge/measure/weigh/reckon/esteem/count as/deem/believe/suppose,https://dil.ie/32032,cognition,PRONOMINAL,N/A,YES,In mesad mesas insacart incailech 7 inobli,The examination wherewith the priest examines the chalice and the host,https://archive.org/details/thesauruspalaeoh02stokuoft/page/252/mode/2up,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
coimétaid,SIMPLE,guard/watch/observe,https://dil.ie/10188,direct reflexive,PRONOMINAL,N/A,YES,a Choimdiu¢ nom-chomēt,Oh Lord¢ protect me!,ZCP vi 259.9,NO,N/A,YES,coimhedadh gan a ttabhart …,let him be careful not to give them...,Ó Héodhusa 151.6,NO,N/A
umlaigidir,SIMPLE_AIG_DEPONENT,humble/submit/obey/bow/prostrate,https://dil.ie/43160,body posture/anticausative,PRONOMINAL,N/A,YES,ar son na laithean ar umhluigh tu sinn,for the days when you humbled us,https://celt.ucc.ie/published/G206008.html,NO,N/A,YES,do umlaigh an fhairge le breithir C.C.,the sea obeyed the word of C.C.,BCC § 281,NO,N/A
cintaigidir,SIMPLE_AIG_DEPONENT,transgress/default/sin/accuse/charge,https://dil.ie/9167,direct reflexive,PRONOMINAL,N/A,YES,cionntaigh é idir thú féin ┐ é,Accuse him¢ just between the two of you,Matthew 18:15 (O'Donnell's Irish version of the New Testament. 1602),NO,N/A,YES,cia nachar chiontaigh,who has not sinned?,Ddána 10.2,NO,The meaning of the reflexive is “accuse/charge oneself”¢ but the non-reflexive intransitive means “sin¢ go astray”.
cuirithir,SIMPLE_DEPONENT,see do-cuirithir,https://dil.ie/13660¢ https://dil.ie/13665,direct reflexive,PRONOMINAL,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir,see do-cuirithir
