Source	Locus 1	Loucs 2	Locus 3	Full Gloss	Translation	IMMEDIATE CONTEXT	IMMEDIATE CONTEXT TRANSLATION	MORPH	MORPH TRANS	MORPH ANALYSIS	MORPH CONTEXT	LEMMA OF MAIN VERB	CLAUSAL SUBJECT	SUBJECT ANALYSIS	GOV CONTEXT	GOV CONTEXT TYPE	GOV CONTEXT LEMMA	GOV CONTEXT SBJ	GOV CONTEXT SBJ ANALYSIS	SBJ~MORPH COREFERENCE	SBJ~OTHER	MORPH REFLEXIVE	Note
Ml.	131b13	N/A	S0006-7938	.i. asindbelainse	i.e. that I die	asindbelainse	that I die	asindbelainse	that I die	3sg.neut.Infixed_Pronoun	UNC	at-baill	se	1sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	144d03	N/A	S0006-8387	átrubalt tarhæsi ápectha	It has perished for their sin.	átrubalt tarhæsi ápectha	It has perished for their sin	átrubalt	it has perished	3sg.neut.Infixed_Pronoun	UNC	at-baill	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Wb.	011c01	N/A	N/A	.i. manud fel inspirut nóib indiumsa ná bith fochunn uaimm fein domæcṅduch .i. per fortitudinem fidei	i.e. if there is the Holy Spirit within me let me give no cause to speak evil of me.	ná bith fochunn uaimm fein	let me give no cause <lit. let there be no cause from me me myself>	uaimm fein	from me myself	1sg.Null_Pronoun_INTS	PP-COMP	attá	fochunn	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Wb.	023c15	N/A	N/A	.i. bad uaísliu cách lialaile oldaas fessin	i.e. let each esteem another better than himself.	oldaas fessin	than Himself.	oldaas fessin	than Himself	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	attá	- fessin	3sg.masc.Null_Pronoun_INTS	bad uaísliu cách lialaile oldaas fessin	VERB	is	cách	sg.NP	≠	VERB-SBJ=PRON-SBJ	NO	MORPH IS COREFERENTIAL WITH HIGHER SUBJECT.
Wb.	032a09	N/A	N/A	dofuthrisse abuith imgnaís feín arahireschi	I could wish that he were with myself because of his faithfulness.	abuith imgnaís feín arahireschi	that he were with myself <lit. in my own presence> because of his faithfulness	imgnaís feín	with myself <lit. in my own presence>	1sg.Possessive_INTS	PP-COMP	attá	a	3sg.masc.Possessive	dofuthrisse abuith imgnaís feín arahireschi	VERB	do-futhraccair	se	1sg.Overt_Pronoun	SBJ≠PP-COMP	VERB-SBJ=VBN-OBJ	NO	MORPH IS COREFERENTIAL WITH HIGHER SUBJECT.
Wb.	033d09	N/A	N/A	.i. oldaas fadeissin	i.e. than Himself.	oldaas fadeissin	than Himself.	oldaas fadeissin	than Himself	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	attá	- fadeissin	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	084a02	N/A	S0006-5186	dubuith dait and fein secech talmain	that you should be in it itself beyond every land.	dubuith dait and fein secech talmain	that you should be in it itself beyond every land.	and fein	in it itself	3sg.neut.Null_Pronoun_INTS	PP-COMP	attá	duit	2sg.Null_Pronoun/PP	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Ml.	091a10	N/A	S0006-5632	olnundianai<g>fed .i. nosoirfitissom tripecthu innannamat cení betis degairíltin leu fessin	because it would hasten, i.e. they would be delivered through the sins of the enemies, even if they had no merits themselves.	cení betis degairíltin leu fessin	even if they had no merits themselves	leu fessin	they had … themselves	3pl.Null_Pronoun_INTS	PP-COMP	attá	degairíltin	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Ml.	135d01	N/A	S0006-8133	.i. dobuith doforaithmit ón imbiuth ailiu .i. innaimsir cenmitha inni imbi féin.,	i.e. that is, that there should be remembrance of you in another world, i.e. at a time besides that in which you are yourself.	imbi féin	in which you are yourself	imbi féin	in which you are	2sg.Null_Pronoun_INTS	PRON-SBJ	attá	- féin	2sg.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Sg.	188a02	188a05 d	S0007-2824	.i. ataat tuisil indib cadésin	i.e. there are cases in them themselves	ataat tuisil indib cadésin	there are cases in them themselves	indib cadésin	in them themselves	3pl.Null_Pronoun_INTS	PP-COMP	attá	tuisil	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
PS	POMIC	ps.118	N/A	acht asbeir cirine ataat cóic sailm reta tré metur saingnusta .i. noli ocus confitebor ocus beatus vir résin mbiáit, in biáit dono, ocus exaltabo	But Jerome says there are five psalms that run in a special metre, to wit, ‘Noli’ and ‘Confitebor’, and ‘Beatus vir’ before the Beati, the ‘Beati’ itself, and ‘Exaltabo’	ataat cóic sailm reta tré metur saingnusta .i. noli ocus confitebor ocus beatus vir résin mbiáit, in biáit dono, ocus exaltabo	there are five psalms that run in a special metre, to wit, ‘Noli’ and ‘Confitebor’, and ‘Beatus vir’ before the Beati, the ‘Beati’ itself, and ‘Exaltabo’	in biáit dono	the ‘Beati’ itself	sg.Noun_INTS	NP-SBJ	attá	cóic sailm reta tré metur saingnusta .i. noli ocus confitebor ocus beatus vir résin mbiáit, in biáit dono, ocus exaltabo	pl.Noun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	MORPH IS NP-SBJ BECAUSE IT IS A SUBPART OF THE CLAUSE’S SUBJECT.
Hom	POMIC	hom.087	N/A	Céinmair ricfea in flaith airm i tá Día fadesin , rí már cáin cumachtach trén nóeb glan fírían féig forsaid trócar dércach deg-máinech sen óac ecnaid úasal indocbuide cen tossach cen f.orcenn cen áes cen erchre .	Blessed is he who will reach the kingdom where God himself is, a king great, powerful, strong, holy, pure, righteous, keen, firm, merciful, charitable, beneficent, old, young, wise, noble, glorious, without beginning, without end, without age, without decay.	i tá Día fadesin	where God himself is	Día fadesin	God himself	sg.Noun_INTS	NP-SBJ	attá	Día fadesin	sg.Noun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
TurMark	Thes.i.492.110a	N/A	S0050-88	adchos<a>ire .i. adchois maldacht in popoil foir	averter, namely, the one who averts on himself the curse of the people	adchois maldacht in popoil foir	who averts on himself the curse of the people	foir	on himself	3sg.masc.Null_Pronoun	PP-COMP	attá	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Windisch, Ernst 1880	223.9	Irische Texte 1	https://archive.org/details/irischetextemit00lucagoog/page/222/mode/2up	ar cia nos baigea ingen Forcaill a hucht a comalta | im gnim co cumachta bés ni lím lamathair	For though Forgall’s daughter may boast amongst her foster sisters | about [doing] a mighty deed, it seems to me perhaps she won’t dare to.	ar cia nos baigea ingen Forcaill a hucht a comalta | im gnim co cumachta	For though Forgall’s daughter may boast amongst her foster sisters | about [doing] a mighty deed	nos baigea	may boast	3sg.fem.Infixed_Pronoun	PRON-OBJ	bágaid/báigid	ingen Forcaill	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Meyer, Kuno 1897	105.1	ZCP 1	https://archive.org/details/zeitschriftfrc01meyeuoft/page/104/mode/2up	not-ber em as dom' inchaib, resiu ba marbsom [leg. marbsa]	Depart from my presence, before I die.	not-ber as dom' inchaib	Depart from my presence	not-ber	depart	2sg.Infixed_Pronoun	PRON-OBJ	beirid	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	020c08	N/A	N/A	.i. benad friachubus fessin	i.e. let it concern his own conscience.	benad friachubus fessin	let it concern his own conscience	friachubus fessin	his own conscience	3sg.masc.Possessive_INTS	PP-COMP	benaid	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ≠POSS	NO	N/A
O’Rahilly, Cecille 1967	109	Táin Bó Cuailnge	https://celt.ucc.ie/published/G301035/	& ra mbertaig co raímdetar úammand a cholcthech faí	and (in his pleasure) he shook himself so that the seams of the flock-beds beneath him burst asunder	& ra mbertaig	and (in his pleasure) he shook himself	ra mbertaig	He shook himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	bertaigidir	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	005b32	N/A	N/A	níptha labar et nípadro<mór?> notbocctha	thou should not be arrogant and thou shouldst not boast <thyself> overmuch	notbocctha	thou shouldst not boast <thyself>	notbocctha	and thou shouldst not boast <thyself>	2sg.Infixed_Pronoun	PRON-OBJ	boccaid	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Best, R.I. and Bergin, Osborn 1956	432	LL l.13527 [Talland Etair]	https://celt.ucc.ie/published/G800011B.html	Nos brogat dó iarum i nUachtur Fine.	They  go  forward  then  into  Uachtar  Fine	Nos brogat dó iarum i nUachtur Fine.	They  go  forward  then  into  Uachtar  Fine	Nos brogat	They go forward	3pl.Infixed_Pronoun	PRON-OBJ	brogaid	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
MT	POMIC	mt.410	S0070-411	andand as crad tra don cach fri sa m bí immalde: de aos sruith . nem-chomaitecht doib im caomclód praindi nó a tórmach 7 temet ipsam castigas do traothad do tole 7 do accobair 7 ní airigetar sam ón . anda leo sam immurgu is ar abstinait deit siu .	When it is grievous for anyone in regard to such elderly people as live with him not to indulge them with a change or increase of diet, while you are chastising yourself to subdue your desires and propensions, and they do not observe this, they suppose, however, that it is by way of abstinence on your part.	7 temet ipsam castigas	while you are chastising yourself	temet ipsam	yourself	2sg.Overt_Pronoun_INTS	PRON-OBJ	castigo	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	054c09	N/A	S0006-3310	nudachelat	that hide them<selves>.	nudachelat	that hide them<selves>	nudachelat	that hide them<selves>	3pl.Infixed_Pronoun	PRON-OBJ	ceilid	-	3pl.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	061a02	N/A	S0006-3782	nudachéiltis ɫ. lætentes .i. nufailtigtis	who were hiding themselves, or lætentes, that is, who were rejoicing.	nudachéiltis	who were hiding themselves	nudachéiltis	who were hiding themselves	3pl.Infixed_Pronoun	PRON-OBJ	ceilid	-	3pl.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	209b34	209b32 ae	S0007-3294	.i. cenchésad fuiri féisin ɫ in aliam	i.e. without passion on itself or towards another	cenchésad fuiri féisin ɫ in aliam	without passion on itself or towards another	fuiri féisin	on itself	3sg.fem.Null_Pronoun_INTS	PP-COMP	césaid	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
O'Grady, Standish Hayes 1892	12.27	SG	https://archive.org/details/silvagadelicaixx01ograuoft/silvagadelicaixx01ograuoft/page/12/mode/2up	do chionntaig é féin ina aindligthibh	He blamed himself for his misdeeds.	do chionntaig é féin ina aindligthibh	He blamed himself for his misdeeds	é féin	himself	3sg.masc.Overt_Pronoun_INTS	PRON-OBJ	cintaigidir	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	MODERN IRISH
Gwyn, Lucius and O’Duigenan, David 1911	98.4	Ériu 5	https://www.jstor.org/stable/pdf/30007557.pdf	7 coimhéid thú fén ar f.ertaibh 7 ar miorbhuilibh in Chéoláin.	and beware of the virtues and powers of the Ceolán	7 coimhéid thú fén ar f.ertaibh 7 ar miorbhuilibh in Chéoláin.	and beware of the virtues and powers of the Ceolán	thú féin	yourself	2sg.Overt_Pronoun_INTS	PRON-OBJ	coimétaid	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	MODERN IRISH
Wb.	020c22	N/A	N/A	.i. ní comalnatsom cid feissne recht	i.e. even they themselves fulfil not the Law.	ní comalnatsom cid feissne recht	even they themselves fulfil not the Law	ní comalnatsom cid feissne	even they themselves fulfil not	3pl.Overt_Pronoun_INTS	PRON-SBJ	comalnaithir	som cid feissne	3pl.Overt_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Wb.	017b10	N/A	N/A	frinn fanisin cotondelcfam .i. amal doncoisin nínmóidfem inneuch nád denam ut uós facitis ó seodoapostoli	i.e. with ourselves we will compare ourselves, that is, as we are. We will not boast in aught that we do not, ut etc.	cotondelcfam	we will compare ourselves	cotondelcfam	we will compare ourselves	1pl.Infixed_Pronoun	PRON-OBJ	con-delga	-	1pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	091d08	N/A	S0006-5688	.i. diandamchondelc fritsu adǽ nita ferr indaas cethir	i.e. if I compare myself to You, O God, I am no better than a beast.	diandamchondelc fritsu adǽ	if I compare myself to You, O God	diandamchondelc	if I compare myself	1sg.Infixed_Pronoun	PRON-OBJ	con-delga	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	011b18	N/A	N/A	.i. nacuinged athoil fessin .i. cid tol dó airbert biuth innatúare nach thoimled arna tarta amiris et frithorcuin dondlobur hiressach	i.e. let him not seek his own desire, that is, though he have a desire to partake of the foods let him not so partake lest he bring unfaith and offence to the weak believer.	nacuinged athoil fessin	let him not seek his own desire	athoil fessin	his own desire	3sg.masc.Possessive_INTS	NP-OBJ	con-dieig	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
Best, R.I. and Bergin, Osborn 1929	240	LU l.7849 [TBBD]	https://celt.ucc.ie/published/G301900/text023.html	Cotaéirget iarom la sodain na díbergaig dochom na brudne	With that the reavers march to the Hostel	Cotaéirget iarom la sodain na díbergaig dochom na brudne	With that the reavers march to the Hostel	Cotaéirget	march	3pl.Infixed_Pronoun	PRON-OBJ	con-éirig	na díbergaig	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	033b05	N/A	S0006-1477	.i. aconnidrerbsom .i. immét apectha ɔnarochret áíc triafirinni fessin	i.e. when he trusted, i.e. in the greatness of his sin, so that he did not believe in his salvation through his own righteousness.	aconnidrerbsom .i. immét apectha	when he trusted <himself>, i.e. in the greatness of his sin	connidrerbsom	he trusted <himself>	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-erbai	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	054b01	N/A	S0006-3271	aconidreirb	when he trusted.	aconidreirb	when he trusted <himself> 	conidreirb	he trusted <himself>	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-erbai	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	106b08	N/A	S0006-6500	lasse conidrerp .i. rotorasnaigestar	when he had entrusted himself, i.e. <when> he had trusted.	lasse conidrerp	when he had entrusted himself	conidrerp	he had entrusted himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-erbai	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	112a03	N/A	S0006-6820	cotnerba	he will trust.	cotnerba	he will trust <himself>	cotnerba	he will trust <himself>	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-erbai	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	055a18	N/A	S0006-3379	nís congbaitis .i. diersolcud angena	they did not use to restrain themselves, namely, from opening their mouth.	nís congbaitis	they did not use to restrain themselves	nís congbaitis	they did not use to restrain themselves	3pl.Infixed_Pronoun	PRON-OBJ	con-gaib	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
MT	POMIC	mt.356	S0070-357	is iarum a-t-bert som “ is deithbir ” ol se “ cid ansa don curp hi tá a tóla mora sa a congbal	Then said he, "No wonder," said he, "if it is hard for the body, wherein are these strong currents, to contain itself.	a congbal	containing itself	a c<h>ongbal	containing itself	3sg.masc.Possessive	VBN-OBJ	con-gaib	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO=VBN-OBJ	N/A	YES	N/A
MT	POMIC	mt.087	S0070-88	ind tí do áos tuathe ar-faom anm-cairdini a chongbail dó ab uxore sua in his tribus noctibus idest aidchi dardáoin aidchi sathairn 7 aidchi  n domnaich . cid aidchi lúoin ma do-rona	As for one of the laity who accepts spiritual direction, there should be his keeping himself from his wife on these three nights: Wednesday night, Friday night, and Saturday night, even Sunday night, if he can do so.	a chongbail dó ab uxore sua in his tribus noctibus	there should be his keeping himself from his wife on these three nights	a chongbail	keeping himself	3sg.masc.Possessive	VBN-OBJ	con-gaib	dó	3sg.masc.Null_Pronoun/PP	N/A	N/A	N/A	N/A	N/A	SBJ=VBN-OBJ	N/A	YES	N/A
Wb.	030a09	N/A	N/A	.i. cototnertsu	i.e. strengthen thyself.	cototnertsu	strengthen thyself	cototnertsu	strengthen yourself	2sg.Infixed_Pronoun	PRON-OBJ	con-nerta	su	2sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	046a12	N/A	S0006-2642	acondírgedar .i. asbeirsom frisnatorus arndacum cabat 7 arnda ersoilcet noch is arnaib dorsaidib són ɔda ǽrset do failti archenn arríg dothet ɔ<a>popul adoiri·	when he reproves, i.e. he says to the doors that they should rise and open themselves: however that is for the doorkeepers so that they may arise in welcome before their King who comes with his people out of captivity.	arndacum cabat	that they should rise <lit. raise themselves>	arndacum cabat	that they should rise <lit. raise themselves>	3pl.Infixed_Pronoun	PRON-OBJ	con-ocaib	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	053d08	N/A	S0006-3225	cotnucbad .i. rabsacis	he used to exalt himself, i.e. Rabshakeh.	cotnucbad	he used to exalt himself	cotnucbad	he used to exalt himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-ocaib	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
K-Bede	Thes.ii.11.18b10	N/A	S0022-22	isamlaid ém cotaucbat doib residentibus .i. sideribus .i. andusleicet inna rind .i. illís .i. ísli doib som infechtsa innahí ruptar ardda dun nai	It is thus, indeed, they raise themselves to them, to the residents, that is, to the stars; that is, when the planets sink <themselves>, that is, to those. That is, the ones that were high to us <are> low to them now.	cotaucbat doib	they raise themselves to them	cotaucbat	they raise themselves	3pl.Infixed_Pronoun	PRON-OBJ	con-ocaib	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
K-Bede	Thes.ii.13.18d4	N/A	S0022-36	cotaocbat	They raise themselves up.	cotaocbat	They raise themselves up	cotaocbat	They raise themselves up	3pl.Infixed_Pronoun	PRON-OBJ	con-ocaib	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	029d03	N/A	S0006-1160	.i. sechis cotammoscaigse isnaib slebib .i. hosleib dosléib	i.e. that is, I should move in the mountains, i.e., from mountain to mountain.	cotammoscaigse isnaib slebib	I should move <myeslf> in the mountains	cotammoscaigse	I should move <myself>	1sg.Infixed_Pronoun	PRON-OBJ	con-oscaigi	se	1sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	015c01	N/A	S0006-174	intí ɔidnarraig	he who constrains himself.	ɔidnarraig	who constrains himself	ɔidnarraig	who constrains himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-rig	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
MT	POMIC	mt.007	S0070-8	ma nip lór dano reim iond áosa coimsi bes i sind eclais i m bé ma <tairm>escai cách deit cen a cosc fo-cheird deit cubus ammain la slemni roithini	If the persons in authority that are in the church where you are have not fully performed their duties, and if each ... from you, without correcting himself, merely send him away from your confession gently and kindly.	cen a c<h>osc	without correcting himself	a c<h>osc	correcting himself	3sg.masc.Possessive	VBN-OBJ	con-secha	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO=VBN-OBJ	N/A	YES	N/A
Sg.	159a04	159a25 f	S0007-2623	.i. huare nad·comsuidigther inte feisne	i.e. since it is not compounded into itself	huare nad·comsuidigther inte feisne	since it is not compounded into itself	inte feisne	into itself	3sg.fem.Null_Pronoun	PP-COMP	con-suidigidir	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Stokes, Whitley 1899	270	RC 20	https://archive.org/details/revueceltiqu20pari/page/270/mode/2up?view=theater&q=coitluid	coitluid la do cetul do nimiath iarna croich	After his cross he went with two songs to heavenland.	coitluid la do cetul do nimiath iarna croich	After his cross he went with two songs to heavenland.	coitluid	he went	3sg.masc.Infixed_Pronoun	PRON-OBJ	con-tét	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	013c10	N/A	N/A	<ma>ssu dóinecht <crist> nocretim <ma>nid chretim <aess>éirge et mo<esséir>ge féinn <.i. mas>su bethu frecṅ<dirc> tantum nomthá	if it is <only> Christ’s Manhood I believe <and> if I believe not in His resurrection and my own resurrection, that is, if it is a present life tantum that I have.	<ma>nid chretim <aess>éirge et mo<esséir>ge féinn	<and> if I believe not in His resurrection and my own resurrection	mo<esséir>ge féinn	my own resurrection	1sg.Possessive_INTS	NP-OBJ	creitid	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
Ml.	033b05	N/A	S0006-1477	.i. aconnidrerbsom .i. immét apectha ɔnarochret áíc triafirinni fessin	i.e. when he trusted, i.e. in the greatness of his sin, so that he did not believe in his salvation through his own righteousness.	ɔnarochret áíc triafirinni fessin	so that he did not believe in his salvation through his own righteousness	triafirinni fessin	through his own righteousness	3sg.masc.Possessive_INTS	PP-COMP	creitid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
MT	POMIC	mt.451	S0070-452	7 dixit ildi columba , “ semel crucifix(s)i<sti> christum per temed ipsum pecato secundo in findio quod non credidisti quod dixit ildi per ipsum sanctam tercio in comgello quarto in me	And Columba said to him: "You have crucified Christ once of yourself by sin; secondly, in the person of Findio, because you did not believe what he said by the Holy Spirit; thirdly, in the person of Comgell; fourthly, in mine.	semel crucifix(s)i<sti> christum per temed ipsum pecato	You have crucified Christ once of yourself by sin	per temed ipsum	of yourself	2sg.Overt_Pronoun_INTS	PP-COMP	crucifigo	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Com	POMIC	com.008	N/A	Ar ataat alaili pecdae dib ni dlegad dilgud a pende cid fotae an ree con-mestar doib ma ni chuimrigetar dia fessin tria bas no epistil ngalar no meit an saothair do-charadar nech fair fessin amal ro-n-gabsat fingala 7 duine-orcni 7 duine-táidi 7 amail ro-gabsat diberggae 7 druithdechta 7 cantechda 7 amail ro-n-gabsat adultracha 7 cuiligi 7 eithech 7 eres 7 tairmtechtae gra:id . &	They are not entitled to any remission of the penitence due for them, however long be the period prescribed for them, unless God himself shorten it by means of death or a message of sickness or the amount of mortification a person takes on himself; such are, for example, kinslayings, homicides, and secret murders; also brigandage, druidism, and satirizing; further, adultery, incest, perjury, heresy, and violation of <the duties of one-s ecclesiastical> grade.	ma ni chuimrigetar dia fessin tria bas no epistil ngalar no meit an saothair	unless God himself shorten it by means of death or a message of sickness or the amount of mortification	dia fessin	God himself	sg.Noun_INTS	NP-SBJ	cuimrigithir	dia fessin	sg.Noun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Bedell 1648 (1817 ed.)	1 Sam. 28:8	Leabhuir na Seintiomna ar na ttarrving go gaidlig tre cúram [agus] dútra[cht] an Doctúir Uilliam Bedel/The books of the Old Testament translated into Irish by the care and diligence of Doctor William Bedel; 	N/A	do chuir Saul é féin a naimriocht	Saul disguised himself.	do chuir Saul é féin a naimriocht	Saul disguised himself.	é féin	himself	3sg.masc.Overt_Pronoun_INTS	PRON-OBJ	cuirithir	Saul	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	MODERN IRISH
Ml.	133a09	N/A	S0006-8023	.i. racumgaigestarsom	i.e. he confined himself.	racumgaigestarsom	he confined himself	racumgaigestarsom	he confined himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	cumgaigidir	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Meyer, Kuno 1915	45.1	ZCP 10	https://archive.org/details/zeitschriftfrc10meyeuoft/page/44/mode/2up	fot glūn nochomdeisigfinn	I would not put (set?) myself at thy knee (i.e. I would not yield to thy authority)	nochomdeisigfinn	I would not put (set?) myself 	nochomdeisigfinn	I would not put (set?) myself 	1sg.Infixed_Pronoun	PRON-OBJ	dessaigidir	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Meyer, Kuno 1906	30§12	N/A	https://www.ucc.ie/research/celt/published/G301037.html	& nosdírgenn co Celtchar co mhói ac lige a cos	and it made straight for Celtchar until it was licking his feet.	& nosdírgenn co Celtchar	and it made straight for Celtchar	nosdírgenn	it made straight	3.Infixed_Pronoun	PRON-OBJ	dírgid	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	THE INFIX -S- LACKS A GENDER FEATURE IN MIDDLE IRISH.
Wb.	006b28	N/A	N/A	.i. taiccéra cách daráchen fessin	i.e. every one shall answer for himself.	taiccéra cách daráchen fessin	every one shall answer for himself <lit. on its own behalf>	daráchen fessin	on his own behalf	3sg.masc.Possessive_INTS	PP-COMP	do-acair	cách	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Ml.	046d15	N/A	S0006-2728	afuroissestar .i. duarbaid anoibi fadessin quando dixit innocentes et recti	when he confessed, i.e. he showed his own sanctity, quando etc.	duarbaid anoibi fadessin	he showed his own sanctity	anoibi fadessin	his own sanctity	3sg.masc.Possessive_INTS	NP-OBJ	do-adbat	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
